,salary,tool
7435,103846,Ruby
7435,103846,Jasmine
7435,103846,JavaScript
7435,103846,Django
7438,110000,Java
7438,110000,MySQL
7445,35000,Java
7445,35000,LotusNotes
7445,35000,LotusScript
7445,35000,VisualBasic
7445,35000,Domino
7445,35000,HTML
7445,35000,JavaScript
7445,35000,jQuery
7445,35000,CSS
7446,77500,WindowsServer2019
7446,77500,C#
7446,77500,WinForm
7446,77500,MySQL
7448,31000,
7449,53846,Git
7449,53846,Python
7449,53846,AWS
7450,39750,
7451,37500,AJAX
7451,37500,DHTML
7451,37500,HTML
7451,37500,JavaScript
7451,37500,XHTML
7451,37500,jQuery
7451,37500,ReactJS
7455,34000,
7458,269230,Github
7458,269230,Python
7458,269230,MySQL
7458,269230,HTML
7458,269230,JavaScript
7458,269230,CSS
7458,269230,Node.js
7458,269230,ReactJS
7459,45000,AJAX
7459,45000,MSSQL
7459,45000,HTML
7459,45000,JavaScript
7459,45000,jQuery
7459,45000,CSS
7463,76923,Linux
7463,76923,Python
7464,30500,
7465,269230,Java
7465,269230,Rails
7465,269230,Jasmine
7465,269230,MySQL
7465,269230,PostgreSQL
7465,269230,HTML
7465,269230,JavaScript
7465,269230,CSS
7465,269230,Django
7466,103846,Python
7466,103846,Ruby
7466,103846,Jasmine
7466,103846,JavaScript
7466,103846,Django
7469,110000,Java
7469,110000,MySQL
7476,35000,Java
7476,35000,LotusNotes
7476,35000,LotusScript
7476,35000,VisualBasic
7476,35000,Domino
7476,35000,HTML
7476,35000,JavaScript
7476,35000,jQuery
7476,35000,CSS
7477,77500,WindowsServer2019
7477,77500,C#
7477,77500,WinForm
7477,77500,MySQL
7479,31000,
7480,53846,Git
7480,53846,Python
7480,53846,AWS
7481,39750,
7482,37500,AJAX
7482,37500,DHTML
7482,37500,HTML
7482,37500,JavaScript
7482,37500,XHTML
7482,37500,jQuery
7482,37500,ReactJS
7486,34000,
7489,269230,Github
7489,269230,Python
7489,269230,MySQL
7489,269230,HTML
7489,269230,JavaScript
7489,269230,CSS
7489,269230,Node.js
7489,269230,ReactJS
7490,45000,AJAX
7490,45000,MSSQL
7490,45000,HTML
7490,45000,JavaScript
7490,45000,jQuery
7490,45000,CSS
7494,76923,Linux
7494,76923,Python
7495,30500,
7496,269230,Java
7496,269230,Rails
7496,269230,Jasmine
7496,269230,MySQL
7496,269230,PostgreSQL
7496,269230,HTML
7496,269230,JavaScript
7496,269230,CSS
7496,269230,Django
7497,103846,Python
7497,103846,Ruby
7497,103846,Jasmine
7497,103846,JavaScript
7497,103846,Django
7500,110000,Java
7500,110000,MySQL
7507,35000,Java
7507,35000,LotusNotes
7507,35000,LotusScript
7507,35000,VisualBasic
7507,35000,Domino
7507,35000,HTML
7507,35000,JavaScript
7507,35000,jQuery
7507,35000,CSS
7508,77500,WindowsServer2019
7508,77500,C#
7508,77500,WinForm
7508,77500,MySQL
7510,31000,
7511,53846,Git
7511,53846,Python
7511,53846,AWS
7512,39750,
7513,37500,AJAX
7513,37500,DHTML
7513,37500,HTML
7513,37500,JavaScript
7513,37500,XHTML
7513,37500,jQuery
7513,37500,ReactJS
7517,34000,
7520,269230,Github
7520,269230,Python
7520,269230,MySQL
7520,269230,HTML
7520,269230,JavaScript
7520,269230,CSS
7520,269230,Node.js
7520,269230,ReactJS
7521,45000,AJAX
7521,45000,MSSQL
7521,45000,HTML
7521,45000,JavaScript
7521,45000,jQuery
7521,45000,CSS
7525,76923,Linux
7525,76923,Python
7526,30500,
7527,269230,Java
7527,269230,Rails
7527,269230,Jasmine
7527,269230,MySQL
7527,269230,PostgreSQL
7527,269230,HTML
7527,269230,JavaScript
7527,269230,CSS
7527,269230,Django
7528,103846,Python
7528,103846,Ruby
7528,103846,Jasmine
7528,103846,JavaScript
7528,103846,Django
7531,110000,Java
7531,110000,MySQL
7538,35000,Java
7538,35000,LotusNotes
7538,35000,LotusScript
7538,35000,VisualBasic
7538,35000,Domino
7538,35000,HTML
7538,35000,JavaScript
7538,35000,jQuery
7538,35000,CSS
7539,77500,WindowsServer2019
7539,77500,C#
7539,77500,WinForm
7539,77500,MySQL
7541,31000,
7542,53846,Git
7542,53846,Python
7542,53846,AWS
7543,39750,
7544,37500,AJAX
7544,37500,DHTML
7544,37500,HTML
7544,37500,JavaScript
7544,37500,XHTML
7544,37500,jQuery
7544,37500,ReactJS
7548,34000,
7551,269230,Github
7551,269230,Python
7551,269230,MySQL
7551,269230,HTML
7551,269230,JavaScript
7551,269230,CSS
7551,269230,Node.js
7551,269230,ReactJS
7552,45000,AJAX
7552,45000,MSSQL
7552,45000,HTML
7552,45000,JavaScript
7552,45000,jQuery
7552,45000,CSS
7556,76923,Linux
7556,76923,Python
7557,30500,
7558,269230,Java
7558,269230,Rails
7558,269230,Jasmine
7558,269230,MySQL
7558,269230,PostgreSQL
7558,269230,HTML
7558,269230,JavaScript
7558,269230,CSS
7558,269230,Django
7559,103846,Python
7559,103846,Ruby
7559,103846,Jasmine
7559,103846,JavaScript
7559,103846,Django
7562,110000,Java
7562,110000,MySQL
7569,35000,Java
7569,35000,LotusNotes
7569,35000,LotusScript
7569,35000,VisualBasic
7569,35000,Domino
7569,35000,HTML
7569,35000,JavaScript
7569,35000,jQuery
7569,35000,CSS
7570,77500,WindowsServer2019
7570,77500,C#
7570,77500,WinForm
7570,77500,MySQL
7572,31000,
7573,53846,Git
7573,53846,Python
7573,53846,AWS
7574,39750,
7575,37500,AJAX
7575,37500,DHTML
7575,37500,HTML
7575,37500,JavaScript
7575,37500,XHTML
7575,37500,jQuery
7575,37500,ReactJS
7579,34000,
7582,269230,Github
7582,269230,Python
7582,269230,MySQL
7582,269230,HTML
7582,269230,JavaScript
7582,269230,CSS
7582,269230,Node.js
7582,269230,ReactJS
7583,45000,AJAX
7583,45000,MSSQL
7583,45000,HTML
7583,45000,JavaScript
7583,45000,jQuery
7583,45000,CSS
7587,76923,Linux
7587,76923,Python
7588,30500,
7589,269230,Java
7589,269230,Rails
7589,269230,Jasmine
7589,269230,MySQL
7589,269230,PostgreSQL
7589,269230,HTML
7589,269230,JavaScript
7589,269230,CSS
7589,269230,Django
7590,103846,Python
7590,103846,Ruby
7590,103846,Jasmine
7590,103846,JavaScript
7590,103846,Django
7593,110000,Java
7593,110000,MySQL
7600,35000,Java
7600,35000,LotusNotes
7600,35000,LotusScript
7600,35000,VisualBasic
7600,35000,Domino
7600,35000,HTML
7600,35000,JavaScript
7600,35000,jQuery
7600,35000,CSS
7601,77500,WindowsServer2019
7601,77500,C#
7601,77500,WinForm
7601,77500,MySQL
7603,31000,
7604,53846,Git
7604,53846,Python
7604,53846,AWS
7605,39750,
7606,37500,AJAX
7606,37500,DHTML
7606,37500,HTML
7606,37500,JavaScript
7606,37500,XHTML
7606,37500,jQuery
7606,37500,ReactJS
7610,34000,
7613,269230,Github
7613,269230,Python
7613,269230,MySQL
7613,269230,HTML
7613,269230,JavaScript
7613,269230,CSS
7613,269230,Node.js
7613,269230,ReactJS
7614,45000,AJAX
7614,45000,MSSQL
7614,45000,HTML
7614,45000,JavaScript
7614,45000,jQuery
7614,45000,CSS
7618,76923,Linux
7618,76923,Python
7619,30500,
7620,269230,Java
7620,269230,Rails
7620,269230,Jasmine
7620,269230,MySQL
7620,269230,PostgreSQL
7620,269230,HTML
7620,269230,JavaScript
7620,269230,CSS
7620,269230,Django
7621,103846,Python
7621,103846,Ruby
7621,103846,Jasmine
7621,103846,JavaScript
7621,103846,Django
7624,110000,Java
7624,110000,MySQL
7631,35000,Java
7631,35000,LotusNotes
7631,35000,LotusScript
7631,35000,VisualBasic
7631,35000,Domino
7631,35000,HTML
7631,35000,JavaScript
7631,35000,jQuery
7631,35000,CSS
7632,77500,WindowsServer2019
7632,77500,C#
7632,77500,WinForm
7632,77500,MySQL
7634,31000,
7635,53846,Git
7635,53846,Python
7635,53846,AWS
7636,39750,
7637,37500,AJAX
7637,37500,DHTML
7637,37500,HTML
7637,37500,JavaScript
7637,37500,XHTML
7637,37500,jQuery
7637,37500,ReactJS
7641,34000,
7644,269230,Github
7644,269230,Python
7644,269230,MySQL
7644,269230,HTML
7644,269230,JavaScript
7644,269230,CSS
7644,269230,Node.js
7644,269230,ReactJS
7645,45000,AJAX
7645,45000,MSSQL
7645,45000,HTML
7645,45000,JavaScript
7645,45000,jQuery
7645,45000,CSS
7649,76923,Linux
7649,76923,Python
7650,30500,
7651,269230,Java
7651,269230,Rails
7651,269230,Jasmine
7651,269230,MySQL
7651,269230,PostgreSQL
7651,269230,HTML
7651,269230,JavaScript
7651,269230,CSS
7651,269230,Django
7652,103846,Python
7652,103846,Ruby
7652,103846,Jasmine
7652,103846,JavaScript
7652,103846,Django
7655,110000,Java
7655,110000,MySQL
7662,35000,Java
7662,35000,LotusNotes
7662,35000,LotusScript
7662,35000,VisualBasic
7662,35000,Domino
7662,35000,HTML
7662,35000,JavaScript
7662,35000,jQuery
7662,35000,CSS
7663,77500,WindowsServer2019
7663,77500,C#
7663,77500,WinForm
7663,77500,MySQL
7665,31000,
7666,53846,Git
7666,53846,Python
7666,53846,AWS
7667,39750,
7668,37500,AJAX
7668,37500,DHTML
7668,37500,HTML
7668,37500,JavaScript
7668,37500,XHTML
7668,37500,jQuery
7668,37500,ReactJS
7672,34000,
7675,269230,Github
7675,269230,Python
7675,269230,MySQL
7675,269230,HTML
7675,269230,JavaScript
7675,269230,CSS
7675,269230,Node.js
7675,269230,ReactJS
7676,45000,AJAX
7676,45000,MSSQL
7676,45000,HTML
7676,45000,JavaScript
7676,45000,jQuery
7676,45000,CSS
7680,76923,Linux
7680,76923,Python
7681,30500,
7682,269230,Java
7682,269230,Rails
7682,269230,Jasmine
7682,269230,MySQL
7682,269230,PostgreSQL
7682,269230,HTML
7682,269230,JavaScript
7682,269230,CSS
7682,269230,Django
7683,103846,Python
7683,103846,Ruby
7683,103846,Jasmine
7683,103846,JavaScript
7683,103846,Django
7686,110000,Java
7686,110000,MySQL
7693,35000,Java
7693,35000,LotusNotes
7693,35000,LotusScript
7693,35000,VisualBasic
7693,35000,Domino
7693,35000,HTML
7693,35000,JavaScript
7693,35000,jQuery
7693,35000,CSS
7694,77500,WindowsServer2019
7694,77500,C#
7694,77500,WinForm
7694,77500,MySQL
7696,31000,
7697,53846,Git
7697,53846,Python
7697,53846,AWS
7698,39750,
7699,37500,AJAX
7699,37500,DHTML
7699,37500,HTML
7699,37500,JavaScript
7699,37500,XHTML
7699,37500,jQuery
7699,37500,ReactJS
7703,34000,
7706,269230,Github
7706,269230,Python
7706,269230,MySQL
7706,269230,HTML
7706,269230,JavaScript
7706,269230,CSS
7706,269230,Node.js
7706,269230,ReactJS
7707,45000,AJAX
7707,45000,MSSQL
7707,45000,HTML
7707,45000,JavaScript
7707,45000,jQuery
7707,45000,CSS
7711,76923,Linux
7711,76923,Python
7712,30500,
7713,269230,Java
7713,269230,Rails
7713,269230,Jasmine
7713,269230,MySQL
7713,269230,PostgreSQL
7713,269230,HTML
7713,269230,JavaScript
7713,269230,CSS
7713,269230,Django
7714,103846,Python
7714,103846,Ruby
7714,103846,Jasmine
7714,103846,JavaScript
7714,103846,Django
7717,110000,Java
7717,110000,MySQL
7724,35000,Java
7724,35000,LotusNotes
7724,35000,LotusScript
7724,35000,VisualBasic
7724,35000,Domino
7724,35000,HTML
7724,35000,JavaScript
7724,35000,jQuery
7724,35000,CSS
7725,77500,WindowsServer2019
7725,77500,C#
7725,77500,WinForm
7725,77500,MySQL
7727,31000,
7728,53846,Git
7728,53846,Python
7728,53846,AWS
7729,39750,
7730,37500,AJAX
7730,37500,DHTML
7730,37500,HTML
7730,37500,JavaScript
7730,37500,XHTML
7730,37500,jQuery
7730,37500,ReactJS
7734,34000,
7737,269230,Github
7737,269230,Python
7737,269230,MySQL
7737,269230,HTML
7737,269230,JavaScript
7737,269230,CSS
7737,269230,Node.js
7737,269230,ReactJS
7738,45000,AJAX
7738,45000,MSSQL
7738,45000,HTML
7738,45000,JavaScript
7738,45000,jQuery
7738,45000,CSS
7742,76923,Linux
7742,76923,Python
7743,30500,
7744,269230,Java
7744,269230,Rails
7744,269230,Jasmine
7744,269230,MySQL
7744,269230,PostgreSQL
7744,269230,HTML
7744,269230,JavaScript
7744,269230,CSS
7744,269230,Django
7745,103846,Python
7745,103846,Ruby
7745,103846,Jasmine
7745,103846,JavaScript
7745,103846,Django
7748,110000,Java
7748,110000,MySQL
7755,35000,Java
7755,35000,LotusNotes
7755,35000,LotusScript
7755,35000,VisualBasic
7755,35000,Domino
7755,35000,HTML
7755,35000,JavaScript
7755,35000,jQuery
7755,35000,CSS
7756,77500,WindowsServer2019
7756,77500,C#
7756,77500,WinForm
7756,77500,MySQL
7758,31000,
7759,53846,Git
7759,53846,Python
7759,53846,AWS
7760,39750,
7761,37500,AJAX
7761,37500,DHTML
7761,37500,HTML
7761,37500,JavaScript
7761,37500,XHTML
7761,37500,jQuery
7761,37500,ReactJS
7765,34000,
7768,269230,Github
7768,269230,Python
7768,269230,MySQL
7768,269230,HTML
7768,269230,JavaScript
7768,269230,CSS
7768,269230,Node.js
7768,269230,ReactJS
7769,45000,AJAX
7769,45000,MSSQL
7769,45000,HTML
7769,45000,JavaScript
7769,45000,jQuery
7769,45000,CSS
7773,76923,Linux
7773,76923,Python
7774,30500,
7775,269230,Java
7775,269230,Rails
7775,269230,Jasmine
7775,269230,MySQL
7775,269230,PostgreSQL
7775,269230,HTML
7775,269230,JavaScript
7775,269230,CSS
7775,269230,Django
7776,103846,Python
7776,103846,Ruby
7776,103846,Jasmine
7776,103846,JavaScript
7776,103846,Django
7779,110000,Java
7779,110000,MySQL
7786,35000,Java
7786,35000,LotusNotes
7786,35000,LotusScript
7786,35000,VisualBasic
7786,35000,Domino
7786,35000,HTML
7786,35000,JavaScript
7786,35000,jQuery
7786,35000,CSS
7787,77500,WindowsServer2019
7787,77500,C#
7787,77500,WinForm
7787,77500,MySQL
7789,31000,
7790,53846,Git
7790,53846,Python
7790,53846,AWS
7791,39750,
7792,37500,AJAX
7792,37500,DHTML
7792,37500,HTML
7792,37500,JavaScript
7792,37500,XHTML
7792,37500,jQuery
7792,37500,ReactJS
7796,34000,
7799,269230,Github
7799,269230,Python
7799,269230,MySQL
7799,269230,HTML
7799,269230,JavaScript
7799,269230,CSS
7799,269230,Node.js
7799,269230,ReactJS
7800,45000,AJAX
7800,45000,MSSQL
7800,45000,HTML
7800,45000,JavaScript
7800,45000,jQuery
7800,45000,CSS
7804,76923,Linux
7804,76923,Python
7805,30500,
7806,269230,Java
7806,269230,Rails
7806,269230,Jasmine
7806,269230,MySQL
7806,269230,PostgreSQL
7806,269230,HTML
7806,269230,JavaScript
7806,269230,CSS
7806,269230,Django
7807,103846,Python
7807,103846,Ruby
7807,103846,Jasmine
7807,103846,JavaScript
7807,103846,Django
7810,110000,Java
7810,110000,MySQL
7817,35000,Java
7817,35000,LotusNotes
7817,35000,LotusScript
7817,35000,VisualBasic
7817,35000,Domino
7817,35000,HTML
7817,35000,JavaScript
7817,35000,jQuery
7817,35000,CSS
7818,77500,WindowsServer2019
7818,77500,C#
7818,77500,WinForm
7818,77500,MySQL
7820,31000,
7821,53846,Git
7821,53846,Python
7821,53846,AWS
7822,39750,
7823,37500,AJAX
7823,37500,DHTML
7823,37500,HTML
7823,37500,JavaScript
7823,37500,XHTML
7823,37500,jQuery
7823,37500,ReactJS
7827,34000,
7830,269230,Github
7830,269230,Python
7830,269230,MySQL
7830,269230,HTML
7830,269230,JavaScript
7830,269230,CSS
7830,269230,Node.js
7830,269230,ReactJS
7831,45000,AJAX
7831,45000,MSSQL
7831,45000,HTML
7831,45000,JavaScript
7831,45000,jQuery
7831,45000,CSS
7835,76923,Linux
7835,76923,Python
7836,30500,
7837,269230,Java
7837,269230,Rails
7837,269230,Jasmine
7837,269230,MySQL
7837,269230,PostgreSQL
7837,269230,HTML
7837,269230,JavaScript
7837,269230,CSS
7837,269230,Django
7838,103846,Python
7838,103846,Ruby
7838,103846,Jasmine
7838,103846,JavaScript
7838,103846,Django
7841,110000,Java
7841,110000,MySQL
7848,35000,Java
7848,35000,LotusNotes
7848,35000,LotusScript
7848,35000,VisualBasic
7848,35000,Domino
7848,35000,HTML
7848,35000,JavaScript
7848,35000,jQuery
7848,35000,CSS
7849,77500,WindowsServer2019
7849,77500,C#
7849,77500,WinForm
7849,77500,MySQL
7851,31000,
7852,53846,Git
7852,53846,Python
7852,53846,AWS
7853,39750,
7854,37500,AJAX
7854,37500,DHTML
7854,37500,HTML
7854,37500,JavaScript
7854,37500,XHTML
7854,37500,jQuery
7854,37500,ReactJS
7858,34000,
7861,269230,Github
7861,269230,Python
7861,269230,MySQL
7861,269230,HTML
7861,269230,JavaScript
7861,269230,CSS
7861,269230,Node.js
7861,269230,ReactJS
7862,45000,AJAX
7862,45000,MSSQL
7862,45000,HTML
7862,45000,JavaScript
7862,45000,jQuery
7862,45000,CSS
7866,76923,Linux
7866,76923,Python
7867,30500,
7868,269230,Java
7868,269230,Rails
7868,269230,Jasmine
7868,269230,MySQL
7868,269230,PostgreSQL
7868,269230,HTML
7868,269230,JavaScript
7868,269230,CSS
7868,269230,Django
7869,103846,Python
7869,103846,Ruby
7869,103846,Jasmine
7869,103846,JavaScript
7869,103846,Django
7872,110000,Java
7872,110000,MySQL
7879,35000,Java
7879,35000,LotusNotes
7879,35000,LotusScript
7879,35000,VisualBasic
7879,35000,Domino
7879,35000,HTML
7879,35000,JavaScript
7879,35000,jQuery
7879,35000,CSS
7880,77500,WindowsServer2019
7880,77500,C#
7880,77500,WinForm
7880,77500,MySQL
7882,31000,
7883,53846,Git
7883,53846,Python
7883,53846,AWS
7884,39750,
7885,37500,AJAX
7885,37500,DHTML
7885,37500,HTML
7885,37500,JavaScript
7885,37500,XHTML
7885,37500,jQuery
7885,37500,ReactJS
7889,34000,
7892,269230,Github
7892,269230,Python
7892,269230,MySQL
7892,269230,HTML
7892,269230,JavaScript
7892,269230,CSS
7892,269230,Node.js
7892,269230,ReactJS
7893,45000,AJAX
7893,45000,MSSQL
7893,45000,HTML
7893,45000,JavaScript
7893,45000,jQuery
7893,45000,CSS
7897,76923,Linux
7897,76923,Python
7898,30500,
7899,269230,Java
7899,269230,Rails
7899,269230,Jasmine
7899,269230,MySQL
7899,269230,PostgreSQL
7899,269230,HTML
7899,269230,JavaScript
7899,269230,CSS
7899,269230,Django
7900,103846,Python
7900,103846,Ruby
7900,103846,Jasmine
7900,103846,JavaScript
7900,103846,Django
7903,110000,Java
7903,110000,MySQL
7910,35000,Java
7910,35000,LotusNotes
7910,35000,LotusScript
7910,35000,VisualBasic
7910,35000,Domino
7910,35000,HTML
7910,35000,JavaScript
7910,35000,jQuery
7910,35000,CSS
7911,77500,WindowsServer2019
7911,77500,C#
7911,77500,WinForm
7911,77500,MySQL
7913,31000,
7914,53846,Git
7914,53846,Python
7914,53846,AWS
7915,39750,
7916,37500,AJAX
7916,37500,DHTML
7916,37500,HTML
7916,37500,JavaScript
7916,37500,XHTML
7916,37500,jQuery
7916,37500,ReactJS
7920,34000,
7923,269230,Github
7923,269230,Python
7923,269230,MySQL
7923,269230,HTML
7923,269230,JavaScript
7923,269230,CSS
7923,269230,Node.js
7923,269230,ReactJS
7924,45000,AJAX
7924,45000,MSSQL
7924,45000,HTML
7924,45000,JavaScript
7924,45000,jQuery
7924,45000,CSS
7928,76923,Linux
7928,76923,Python
7929,30500,
7930,269230,Java
7930,269230,Rails
7930,269230,Jasmine
7930,269230,MySQL
7930,269230,PostgreSQL
7930,269230,HTML
7930,269230,JavaScript
7930,269230,CSS
7930,269230,Django
7931,103846,Python
7931,103846,Ruby
7931,103846,Jasmine
7931,103846,JavaScript
7931,103846,Django
7934,110000,Java
7934,110000,MySQL
7941,35000,Java
7941,35000,LotusNotes
7941,35000,LotusScript
7941,35000,VisualBasic
7941,35000,Domino
7941,35000,HTML
7941,35000,JavaScript
7941,35000,jQuery
7941,35000,CSS
7942,77500,WindowsServer2019
7942,77500,C#
7942,77500,WinForm
7942,77500,MySQL
7944,31000,
7945,53846,Git
7945,53846,Python
7945,53846,AWS
7946,39750,
7947,37500,AJAX
7947,37500,DHTML
7947,37500,HTML
7947,37500,JavaScript
7947,37500,XHTML
7947,37500,jQuery
7947,37500,ReactJS
7951,34000,
7954,269230,Github
7954,269230,Python
7954,269230,MySQL
7954,269230,HTML
7954,269230,JavaScript
7954,269230,CSS
7954,269230,Node.js
7954,269230,ReactJS
7955,45000,AJAX
7955,45000,MSSQL
7955,45000,HTML
7955,45000,JavaScript
7955,45000,jQuery
7955,45000,CSS
7959,76923,Linux
7959,76923,Python
7960,30500,
7961,269230,Java
7961,269230,Rails
7961,269230,Jasmine
7961,269230,MySQL
7961,269230,PostgreSQL
7961,269230,HTML
7961,269230,JavaScript
7961,269230,CSS
7961,269230,Django
7962,103846,Python
7962,103846,Ruby
7962,103846,Jasmine
7962,103846,JavaScript
7962,103846,Django
7965,110000,Java
7965,110000,MySQL
7972,35000,Java
7972,35000,LotusNotes
7972,35000,LotusScript
7972,35000,VisualBasic
7972,35000,Domino
7972,35000,HTML
7972,35000,JavaScript
7972,35000,jQuery
7972,35000,CSS
7973,77500,WindowsServer2019
7973,77500,C#
7973,77500,WinForm
7973,77500,MySQL
7975,31000,
7976,53846,Git
7976,53846,Python
7976,53846,AWS
7977,39750,
7978,37500,AJAX
7978,37500,DHTML
7978,37500,HTML
7978,37500,JavaScript
7978,37500,XHTML
7978,37500,jQuery
7978,37500,ReactJS
7982,34000,
7985,269230,Github
7985,269230,Python
7985,269230,MySQL
7985,269230,HTML
7985,269230,JavaScript
7985,269230,CSS
7985,269230,Node.js
7985,269230,ReactJS
7986,45000,AJAX
7986,45000,MSSQL
7986,45000,HTML
7986,45000,JavaScript
7986,45000,jQuery
7986,45000,CSS
7990,76923,Linux
7990,76923,Python
7991,30500,
7992,269230,Java
7992,269230,Rails
7992,269230,Jasmine
7992,269230,MySQL
7992,269230,PostgreSQL
7992,269230,HTML
7992,269230,JavaScript
7992,269230,CSS
7992,269230,Django
7993,103846,Python
7993,103846,Ruby
7993,103846,Jasmine
7993,103846,JavaScript
7993,103846,Django
7996,110000,Java
7996,110000,MySQL
8003,35000,Java
8003,35000,LotusNotes
8003,35000,LotusScript
8003,35000,VisualBasic
8003,35000,Domino
8003,35000,HTML
8003,35000,JavaScript
8003,35000,jQuery
8003,35000,CSS
8004,77500,WindowsServer2019
8004,77500,C#
8004,77500,WinForm
8004,77500,MySQL
8006,31000,
8007,53846,Git
8007,53846,Python
8007,53846,AWS
8008,39750,
8009,37500,AJAX
8009,37500,DHTML
8009,37500,HTML
8009,37500,JavaScript
8009,37500,XHTML
8009,37500,jQuery
8009,37500,ReactJS
8013,34000,
8016,269230,Github
8016,269230,Python
8016,269230,MySQL
8016,269230,HTML
8016,269230,JavaScript
8016,269230,CSS
8016,269230,Node.js
8016,269230,ReactJS
8017,45000,AJAX
8017,45000,MSSQL
8017,45000,HTML
8017,45000,JavaScript
8017,45000,jQuery
8017,45000,CSS
8021,76923,Linux
8021,76923,Python
8022,30500,
8023,269230,Java
8023,269230,Rails
8023,269230,Jasmine
8023,269230,MySQL
8023,269230,PostgreSQL
8023,269230,HTML
8023,269230,JavaScript
8023,269230,CSS
8023,269230,Django
8024,103846,Python
8024,103846,Ruby
8024,103846,Jasmine
8024,103846,JavaScript
8024,103846,Django
8027,110000,Java
8027,110000,MySQL
8034,35000,Java
8034,35000,LotusNotes
8034,35000,LotusScript
8034,35000,VisualBasic
8034,35000,Domino
8034,35000,HTML
8034,35000,JavaScript
8034,35000,jQuery
8034,35000,CSS
8035,77500,WindowsServer2019
8035,77500,C#
8035,77500,WinForm
8035,77500,MySQL
8037,31000,
8038,53846,Git
8038,53846,Python
8038,53846,AWS
8039,39750,
8040,37500,AJAX
8040,37500,DHTML
8040,37500,HTML
8040,37500,JavaScript
8040,37500,XHTML
8040,37500,jQuery
8040,37500,ReactJS
8044,34000,
8047,269230,Github
8047,269230,Python
8047,269230,MySQL
8047,269230,HTML
8047,269230,JavaScript
8047,269230,CSS
8047,269230,Node.js
8047,269230,ReactJS
8048,45000,AJAX
8048,45000,MSSQL
8048,45000,HTML
8048,45000,JavaScript
8048,45000,jQuery
8048,45000,CSS
8052,76923,Linux
8052,76923,Python
8053,30500,
8054,269230,Java
8054,269230,Rails
8054,269230,Jasmine
8054,269230,MySQL
8054,269230,PostgreSQL
8054,269230,HTML
8054,269230,JavaScript
8054,269230,CSS
8054,269230,Django
8055,103846,Python
8055,103846,Ruby
8055,103846,Jasmine
8055,103846,JavaScript
8055,103846,Django
8058,110000,Java
8058,110000,MySQL
8065,35000,Java
8065,35000,LotusNotes
8065,35000,LotusScript
8065,35000,VisualBasic
8065,35000,Domino
8065,35000,HTML
8065,35000,JavaScript
8065,35000,jQuery
8065,35000,CSS
8066,77500,WindowsServer2019
8066,77500,C#
8066,77500,WinForm
8066,77500,MySQL
8068,28000,ASP.NET
8068,28000,C++.Net
8068,28000,Java
8068,28000,VisualBasic.net
8068,28000,VisualStudio.net
8068,28000,JavaScript
8069,37000,
8070,28000,C
8070,28000,C++
8072,28000,Java
8073,28000,ASP.NET
8074,28000,Linux
8074,28000,Python
8076,28000,OOAD
8076,28000,Servlets
8076,28000,UML
8076,28000,Java
8076,28000,JSP
8076,28000,Spring
8076,28000,Struts
8076,28000,Tomcat
8076,28000,J2EE
8076,28000,JavaScript
8076,28000,jQuery
8077,28000,ASP.NET
8077,28000,C#
8077,28000,MSSQL
8078,28000,AJAX
8078,28000,ASP.NET
8078,28000,C#
8078,28000,MSSQL
8078,28000,MySQL
8078,28000,PostgreSQL
8078,28000,JavaScript
8081,28000,C#
8081,28000,Java
8081,28000,WinForm
8081,28000,MSSQL
8081,28000,Oracle
8082,28000,
8083,28000,MSSQL
8083,28000,MySQL
8085,28000,ASP.NET
8085,28000,Java
8085,28000,JSF
8085,28000,JSP
8085,28000,HTML
8085,28000,J2EE
8085,28000,JavaScript
8086,28000,Python
8088,28000,ASP.NET
8088,28000,Java
8088,28000,VisualBasic.net
8088,28000,HTML
8088,28000,JavaScript
8088,28000,CSS
8089,28000,C++
8089,28000,Java
8089,28000,MySQL
8091,28000,Java
8091,28000,JavaScript
8094,28000,ETL
8094,28000,MSSQL
8094,28000,MySQL
8095,28000,ASP.NET
8095,28000,C++.Net
8095,28000,VisualBasic.net
8096,28000,C#
8096,28000,Java
8096,28000,MSSQL
8096,28000,MySQL
8096,28000,HTML
8096,28000,JavaScript
8097,28000,Linux
8097,28000,Python
8097,28000,HTML
8097,28000,JavaScript
8097,28000,CSS
8097,28000,Django
8098,28000,ASP.NET
8098,28000,C++.Net
8098,28000,Java
8098,28000,VisualBasic.net
8098,28000,VisualStudio.net
8098,28000,JavaScript
8099,37000,
8100,28000,C
8100,28000,C++
8102,28000,Java
8103,28000,ASP.NET
8104,28000,Linux
8104,28000,Python
8106,28000,OOAD
8106,28000,Servlets
8106,28000,UML
8106,28000,Java
8106,28000,JSP
8106,28000,Spring
8106,28000,Struts
8106,28000,Tomcat
8106,28000,J2EE
8106,28000,JavaScript
8106,28000,jQuery
8107,28000,ASP.NET
8107,28000,C#
8107,28000,MSSQL
8108,28000,AJAX
8108,28000,ASP.NET
8108,28000,C#
8108,28000,MSSQL
8108,28000,MySQL
8108,28000,PostgreSQL
8108,28000,JavaScript
8111,28000,C#
8111,28000,Java
8111,28000,WinForm
8111,28000,MSSQL
8111,28000,Oracle
8112,28000,
8113,28000,MSSQL
8113,28000,MySQL
8115,28000,ASP.NET
8115,28000,Java
8115,28000,JSF
8115,28000,JSP
8115,28000,HTML
8115,28000,J2EE
8115,28000,JavaScript
8116,28000,Python
